,date,a.csv,aal.csv,aap.csv,aapl.csv,abc.csv,abt.csv
1,04-01-10,22.38912804,4.77,40.380001,30.57285686,26.629999,26.12988449
2,05-01-10,22.14592346,5.31,40.139999,30.62571329,26.440001,25.91877345
3,06-01-10,22.06723963,5.09,40.490002,30.13857071,26.190001,26.06271345
4,07-01-10,22.03862589,5.24,40.48,30.08285714,25.77,26.27862297
5,08-01-10,22.03147353,5.14,40.639999,30.28285786,26.049999,26.41296697
6,11-01-10,22.0457804,5.04,40.240002,30.01571471,26.34,26.54731097
7,12-01-10,21.7811166,5.08,39.540001,29.67428586,26.52,26.47054249
8,13-01-10,21.95278898,5.48,40.09,30.09285743,27.040001,26.52811945
9,14-01-10,22.2818319,5.59,39.560001,29.91857143,27.209999,26.55690697
10,15-01-10,21.76680973,5.5,39.310001,29.41857143,26.92,26.62407801
11,19-01-10,22.03147353,5.64,39.5,30.71999929,27.370001,26.96473601
12,20-01-10,21.90987196,5.74,39.16,30.24714286,27.139999,26.98392753
13,21-01-10,21.83118813,5.46,39.23,29.72428514,26.58,26.65766449
14,22-01-10,20.86552217,5.24,39.740002,28.25,26.66,26.15387497
15,25-01-10,21.06580901,5.22,40.5,29.01000029,27.110001,26.24503697
16,26-01-10,20.95135908,5.05,40.549999,29.42000014,27.440001,26.13948049
17,27-01-10,20.86552217,4.86,40.59,29.69714357,27.26,25.86119649
18,28-01-10,20.52217454,5.14,39.77,28.46999929,27.280001,25.88518697
19,29-01-10,20.05007153,5.31,39.450001,27.43714329,27.26,25.40058945
20,01-02-10,20.83691059,5.6,40.490002,27.81857114,27.75,25.59250849
21,02-02-10,21.10157368,5.96,41.189999,27.97999957,28.549999,26.12028849
22,03-02-10,21.13018598,5.66,41.189999,28.46142771,28.32,26.22104601
23,04-02-10,20.79399142,5.49,40.93,27.43571471,27.42,25.82281297
24,05-02-10,20.86552217,5.89,40.720001,27.92285729,27.01,25.89478297
25,08-02-10,20.88698212,5.93,40.810001,27.73142814,26.950001,25.59730745
26,09-02-10,21.03719528,6.44,41.57,28.02714343,27.16,25.59730745
27,10-02-10,20.92274678,6.31,42.330002,27.87428671,27.190001,25.55412497
28,11-02-10,21.00143062,6.32,42.549999,28.38142771,27.52,25.68846897
29,12-02-10,21.44492132,6.81,42.810001,28.62571329,27.35,25.87559145
30,16-02-10,21.63805365,6.88,42.630001,29.05714229,27.57,26.19225849
31,17-02-10,21.90987196,6.8,42.880001,28.93571471,27.59,26.26902745
32,18-02-10,22.1602289,6.73,40.150002,28.98999971,27.860001,26.37458201
33,19-02-10,22.31759657,6.93,40,28.80999943,28.139999,26.09150097
34,22-02-10,22.2818319,7.02,40.240002,28.63142771,27.889999,26.10109697
35,23-02-10,22.06723963,7.09,40.220001,28.15142829,27.75,25.89478297
36,24-02-10,22.33905579,7.17,40.459999,28.66571429,27.889999,26.06751049
37,25-02-10,22.23891273,7.08,40.73,28.85714343,28.08,25.96675297
38,26-02-10,22.50357654,7.33,40.799999,29.23142814,28.040001,26.04352193
39,01-03-10,22.9542196,7.69,41.299999,29.85571486,28.07,26.04831849
40,02-03-10,23.14735408,7.68,41.34,29.83571429,28.459999,26.18746145
41,03-03-10,23.20457868,7.47,41.490002,29.90428543,28,25.94756097
42,04-03-10,23.0758226,7.32,41.779999,30.101429,27.99,25.94756097
43,05-03-10,23.71959871,7.43,42.290001,31.27857214,28.41,26.06271345
44,08-03-10,23.60515021,7.32,42.099998,31.297142,28.07,26.11069297
45,09-03-10,23.79828255,7.71,41.939999,31.86000057,27.99,26.29301601
46,10-03-10,24.07725322,7.94,42.130001,32.119999,28.049999,26.40337145
47,11-03-10,24.02002933,7.84,42.380001,32.21428686,28.08,26.64806849
48,12-03-10,23.90557868,7.95,42.18,32.37142943,27.93,26.15867201
49,15-03-10,23.82689485,7.9,42.080002,31.97714229,27.75,26.29301601
50,16-03-10,23.90557868,7.77,42.299999,32.06428529,28.360001,26.23544097
51,17-03-10,23.87696638,7.59,42.349998,32.01714329,28.200001,26.14907601
52,18-03-10,23.93419099,7.5,42.5,32.09285743,28.57,25.79882249
53,19-03-10,23.90557868,7.1,43.259998,31.75,28.68,25.65008545
54,22-03-10,24.12017239,7.27,43.639999,32.10714343,29.290001,25.84680345
55,23-03-10,24.39914163,7.39,43.959999,32.62285614,29.209999,26.07230945
56,24-03-10,24.24892632,7.41,43.389999,32.76714329,28.719999,25.84680345
57,25-03-10,24.71387697,7.37,43.02,32.37857057,28.6,25.67887345
58,26-03-10,24.54220386,7.3,42.48,32.985714,28.59,25.38139745
59,29-03-10,24.60658083,7.32,42.189999,33.19857029,28.84,25.48695393
60,30-03-10,24.7639485,7.22,42.23,33.69285586,29.280001,25.19427545
61,31-03-10,24.59942847,7.35,41.919998,33.57143014,28.92,25.27584145
62,01-04-10,24.71387697,7.4,42.360001,33.70999914,28.59,25.41018545
63,05-04-10,24.9070093,7.13,42.669998,34.06999971,28.92,25.39579241
64,06-04-10,24.72102933,7.08,42.560001,34.22000129,29.030001,25.35260993
65,07-04-10,24.527897,6.82,42.099998,34.37142943,29.040001,25.18947841
66,08-04-10,24.31330472,7.55,42.25,34.27857214,29.18,25.08392193
67,09-04-10,24.48497783,7.32,42.130001,34.54142757,29.469999,25.29983193
68,12-04-10,24.47067239,7.62,42.41,34.61285786,29.34,25.27104441
