,date,symbol,open,close,low,high,volume
657,2010-01-04,TMO,48.029999,47.5,47.450001,48.029999,7182800.0
1125,2010-01-05,TMO,47.610001000000004,47.66,47.25,47.75,3221900.0
1593,2010-01-06,TMO,47.779999,48.110001000000004,47.619999,48.439999,3065000.0
2061,2010-01-07,TMO,48.119999,48.110001000000004,47.759997999999996,48.200001,2638300.0
2529,2010-01-08,TMO,48.119999,48.919998,47.880001,48.919998,3162200.0
2997,2010-01-11,TMO,49.369999,49.5,49.0,49.669998,2844500.0
3465,2010-01-12,TMO,49.380001,48.68,48.439999,49.380001,3253600.0
3933,2010-01-13,TMO,48.669998,48.700001,48.110001000000004,48.970001,2890300.0
4401,2010-01-14,TMO,48.779999,48.419998,48.27,48.889998999999996,1885800.0
4869,2010-01-15,TMO,48.400002,47.75,47.349998,48.41,5187800.0
5337,2010-01-19,TMO,47.98,48.970001,47.779999,48.990002000000004,3991200.0
5805,2010-01-20,TMO,48.91,48.77,48.200001,49.349998,3862800.0
6273,2010-01-21,TMO,48.689999,47.77,47.669998,49.18,3014100.0
6741,2010-01-22,TMO,47.700001,47.040001000000004,47.029999,47.939999,3904300.0
7209,2010-01-25,TMO,47.34,47.099998,47.040001000000004,47.639998999999996,2463700.0
7677,2010-01-26,TMO,46.91,46.490002000000004,46.23,46.91,3662600.0
8145,2010-01-27,TMO,46.310001,46.459998999999996,46.02,46.580002,2210900.0
8613,2010-01-28,TMO,46.700001,46.299999,46.220001,47.130001,2608200.0
9081,2010-01-29,TMO,46.669998,46.150002,46.139998999999996,46.900002,3009300.0
9549,2010-02-01,TMO,46.110001000000004,46.919998,46.0,46.959998999999996,4060200.0
10017,2010-02-02,TMO,46.950001,47.599998,46.73,47.700001,3995200.0
10485,2010-02-03,TMO,49.5,48.41,48.16,49.689999,6484600.0
10953,2010-02-04,TMO,48.169998,47.259997999999996,47.220001,48.18,4231600.0
11421,2010-02-05,TMO,47.150002,47.0,46.029999,47.27,3827100.0
11889,2010-02-08,TMO,46.950001,46.790001000000004,46.610001000000004,47.32,2665600.0
12357,2010-02-09,TMO,47.080002,47.68,47.029999,47.950001,3085700.0
12825,2010-02-10,TMO,47.52,47.130001,46.939999,47.779999,2423500.0
13293,2010-02-11,TMO,46.959998999999996,47.310001,46.709998999999996,47.48,2252200.0
13761,2010-02-12,TMO,47.02,47.259997999999996,46.549999,47.299999,2118400.0
14229,2010-02-16,TMO,47.509997999999996,48.209998999999996,47.32,48.209998999999996,1675400.0
14697,2010-02-17,TMO,48.209998999999996,48.709998999999996,48.169998,48.860001000000004,2265000.0
15165,2010-02-18,TMO,48.799999,49.32,48.549999,49.52,2822200.0
15633,2010-02-19,TMO,49.130001,49.220001,48.91,49.490002000000004,2012100.0
16101,2010-02-22,TMO,49.400002,48.099998,45.369999,49.57,19134000.0
16569,2010-02-23,TMO,47.779999,49.669998,47.759997999999996,49.939999,14686100.0
17037,2010-02-24,TMO,49.450001,48.389998999999996,48.040001000000004,49.580002,6836100.0
17505,2010-02-25,TMO,48.0,49.279999,47.560001,49.330002,9253500.0
17973,2010-02-26,TMO,49.07,48.77,48.240002000000004,49.189999,3933300.0
18441,2010-03-01,TMO,48.849998,48.650002,48.27,49.25,6794500.0
18909,2010-03-02,TMO,48.84,49.419998,48.740002000000004,49.610001000000004,2516300.0
19377,2010-03-03,TMO,49.419998,49.139998999999996,48.889998999999996,49.470001,2729100.0
19845,2010-03-04,TMO,49.25,48.619999,48.509997999999996,49.5,2123000.0
20313,2010-03-05,TMO,48.709998999999996,49.490002000000004,48.630001,49.720001,2717800.0
20781,2010-03-08,TMO,49.330002,49.93,49.169998,50.189999,3576100.0
21249,2010-03-09,TMO,49.84,50.23,49.669998,50.68,4539900.0
21717,2010-03-10,TMO,50.139998999999996,50.41,49.939999,50.549999,2009100.0
22185,2010-03-11,TMO,50.400002,50.84,50.139998999999996,50.849998,2943400.0
22653,2010-03-12,TMO,50.849998,50.16,49.939999,50.849998,2942300.0
23121,2010-03-15,TMO,50.110001000000004,49.939999,49.48,50.25,3025100.0
23589,2010-03-16,TMO,50.049999,49.509997999999996,49.369999,50.049999,3209300.0
24057,2010-03-17,TMO,49.459998999999996,49.970001,49.459998999999996,50.130001,3604000.0
24525,2010-03-18,TMO,49.990002000000004,49.860001000000004,49.639998999999996,50.25,2150700.0
24993,2010-03-19,TMO,49.880001,49.880001,49.560001,50.189999,3047900.0
25461,2010-03-22,TMO,49.849998,50.799999,49.560001,50.880001,2178900.0
25929,2010-03-23,TMO,50.82,50.849998,50.150002,50.970001,3674000.0
26397,2010-03-24,TMO,50.849998,50.73,50.380001,50.849998,2422800.0
26865,2010-03-25,TMO,50.939999,50.400002,50.349998,51.330002,3069700.0
27333,2010-03-26,TMO,50.560001,50.009997999999996,49.709998999999996,50.560001,3334200.0
27801,2010-03-29,TMO,50.18,50.509997999999996,49.91,50.509997999999996,2748000.0
28269,2010-03-30,TMO,50.540001000000004,51.66,50.400002,52.389998999999996,5520600.0
28737,2010-03-31,TMO,51.439999,51.439999,51.189999,51.580002,3290600.0
29205,2010-04-01,TMO,51.580002,51.77,51.349998,52.939999,2263300.0
29673,2010-04-05,TMO,51.810001,51.869999,51.630001,52.16,1344400.0
30141,2010-04-06,TMO,51.610001000000004,51.700001,51.43,51.849998,1609300.0
30609,2010-04-07,TMO,51.849998,51.580002,51.299999,51.849998,3202300.0
31077,2010-04-08,TMO,51.419998,51.43,50.869999,51.459998999999996,2374900.0
31545,2010-04-09,TMO,51.400002,52.279999,51.240002000000004,52.279999,1707700.0
32013,2010-04-12,TMO,52.380001,52.139998999999996,51.869999,52.400002,1781900.0
32481,2010-04-13,TMO,51.93,52.310001,51.509997999999996,52.41,2304300.0
32949,2010-04-14,TMO,52.18,53.68,51.66,53.700001,4624000.0
33417,2010-04-15,TMO,53.5,54.130001,53.130001,54.150002,3538200.0
33885,2010-04-16,TMO,53.98,53.259997999999996,52.66,53.98,4421800.0
34353,2010-04-19,TMO,53.25,53.41,52.810001,53.549999,2104100.0
34821,2010-04-20,TMO,53.82,54.200001,53.810001,54.939999,6347100.0
35289,2010-04-21,TMO,54.139998999999996,53.560001,53.139998999999996,54.549999,5319600.0
